open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,truerange,atr_7,atr_14,year,month,day,weekday,target
179.279999,181.139999,170.75,172.259995,150185800,52.65988145528091,59.45787705479027,-53.75059860161283,52.79031649843572,155.77800048,159.31003081277953,151.6462001,152.53707880953735,6.163046935156928,167.13650055,10.389998999999989,6.146629500383199,5.112466001444907,2021,12,16,3,bearish
151.889999,152.199997,150.059998,151.279999,65463900,62.90120144081709,59.874834852372416,47.00956304818438,97.9991696592749,147.5506,147.04164934521114,145.68640016,144.08763424083733,1.5210953939857177,147.92300115,2.139998999999989,2.530389907769664,2.604125230020033,2021,11,5,4,bearish
132.440002,134.660004,131.929993,134.429993,91266500,78.03041097725627,66.62534189997402,106.1385180215992,137.5802581692015,126.6835997,126.12515985966438,127.16359984,124.49718930991104,1.9061547072406315,124.70749975,3.41999899999999,2.840514402866895,3.049688109440535,2021,4,13,1,bearish
147.080002,147.949997,142.529999,142.639999,69473000,39.010773168261935,42.07143241908828,-129.5114819138747,-10.16488688747425,156.73180054,153.43399479355833,161.6149005,157.5800878195476,-2.389755858273503,144.86050185000002,5.430007999999987,4.89360071263797,5.230665803089983,2022,6,9,3,bearish
118.330002,118.830002,113.610001,115.540001,184642000,43.140798930356745,48.76798308231096,18.626378491554345,-62.32755311234267,109.68369964,110.44315560658008,95.68127474,99.74844148281736,1.2577313078825512,121.19637385,5.220000999999996,6.20590674298906,5.436043075868343,2020,9,15,1,bearish
26.655001,26.860001,26.5725,26.705,99881200,36.61463014432618,54.488239514699664,-99.239710631281,-153.587877626389,25.43510016,25.95122747366226,25.116475060000003,25.605408385705545,0.3887074758698645,26.97687525,0.2875009999999989,0.3113947407818446,0.3314510593806211,2016,8,29,0,bearish
51.072498,52.209999,50.875,52.119999,129772400,58.239687094287454,63.05393870412492,-2.782994926254985,30.22672170979723,47.98245004,48.50775539328279,44.11742499,47.054985111932886,1.2266066925853494,50.9679999,2.0625,1.2524796146215154,1.0681054407393558,2019,5,6,0,bearish
135.490005,136.009995,132.789993,133.190002,80576300,37.49893270939962,47.92679023245262,-132.62211482564553,-77.57078454824126,131.43020018,131.13861903499668,123.87400006999998,124.56236919448077,1.04302139509835,136.11050029999998,3.220001999999994,2.936349809778282,3.316325672009969,2021,2,16,1,bearish
36.790001,36.862499,36.287498,36.647499,136661600,27.96671495936773,38.19253744213934,-89.2649183292959,-173.9544204334204,37.16109968,37.123411735673,35.43949979,35.424229961231994,0.0094866621645834,38.1839994,0.5750010000000003,0.7894676737101192,0.6497731694024471,2017,6,13,1,bearish
141.899994,142.919998,139.110001,142.649994,94639600,37.31950934544592,40.20048092488459,-92.16764585037932,-115.03113624505086,147.95579985999998,145.94976252688855,140.58489976,142.07562888416098,-1.72820854923836,147.54599990000003,3.809996999999981,3.006209278309773,2.913200240950913,2021,10,1,4,bearish
38.220001,38.424999,37.877499,38.072498,108092800,45.85830828555424,40.40854345761174,68.12878647637413,12.373390303229986,43.87810006,43.08826705296841,49.5819751,46.12750837653061,-1.7356561911093138,38.9432497,0.5725020000000001,1.263588628940144,1.4027328892777655,2019,1,11,4,bearish
156.009995,159.440002,154.179993,157.279999,116124600,41.29456534999994,42.46217924955823,-81.22474479028907,-90.82766264272712,165.32080014,165.12869057710847,168.46530026,164.54193793658325,-2.630672010683924,163.10749965,5.260008999999997,6.278998372762219,5.546762684375598,2022,5,6,4,bearish
