aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
1,Pacific,Concessional assistance-only,PARD,Sanitation and Drainage,Project,Project loan,,COL/ADF,13.02,13.48,13.06132578,2003,2003.0,2004.0,,2004.0,2009.0,2011.0,0.0,0.0,17.81,17.91,WUS,,2012.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Sanitation and Drainage ,Project,Project loan,,COL,8.0,8.63598539,8.23126728,2003,2003.0,2004.0,,2004.0,2010.0,2011.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Sanitation and Drainage (Supplementary),Project,Project loan,,COL,2.78,2.62212025,2.6100585,2008,2008.0,2008.0,,2009.0,2010.0,2011.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Sanitation and Drainage (Supplementary),Project,Project grant,,ADF,2.22,2.21994339,2.22,2008,2008.0,2008.0,,2009.0,2010.0,2011.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
1,Southeast Asia,Concessional assistance-only,SERD,Agriculture Sector Development Program,Program/Project,SDP loan,,COL,28.287,29.63,31.13265816,2003,2003.0,2004.0,,2004.0,2009.0,2011.0,0.0,0.0,30.88,31.22,ANR,,2011.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Agriculture Sector Development Program - Program Loan,Program,SDP - Program loan,,COL,25.0,26.96,26.2061683,2003,2003.0,2004.0,,2004.0,2007.0,2009.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Agriculture Sector Development Program - Project Loan,Project,SDP - Project loan,,COL,3.287,2.68,4.92648986,2003,2003.0,2004.0,,2004.0,2009.0,2011.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Balochistan Road Development Sector/ Community Development and Poverty Reduction Project,Project,Sector loan,,COL/OCR,186.7,114.09,183.77870468,2003,2003.0,2004.0,,2004.0,2009.0,2011.0,0.0,0.0,268.55,213.88899999999998,TRA,,2012.0,successful,highly relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Balochistan Road Development Sector,Project,Sector loan,,OCR,185.7,113.65075284000001,182.75278417,2003,2003.0,2004.0,,2004.0,2010.0,2011.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Community Development and Poverty Reduction,Project,TA loan,,COL,1.0,0.43859568,1.02592051,2003,2003.0,2004.0,,2004.0,2009.0,2010.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,PCR,2012.0,,,,,,,,
