aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
1,Central and West Asia,Concessional assistance-only,CWRD,Osh-Plotina Water Treatment Plant Chlorine Neutralization Unit,Project,Activity Subgrant,Small Expenditure Financing Facility,ADF,0.5,0.3158,0.5,2020,2020.0,2020.0,,2020.0,2021.0,2021.0,0.0,0.0,0.625,0.351,WUS,,2022.0,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Improving School Dormitory Environment for Primary Students in Western Region Project,Project,Project grant,Project grant,Japan Fund for Prosperous and Resilient Asia and the Pacific,3.0,2.9746461,3.0,2015,2015.0,2016.0,,2016.0,2018.0,2020.0,3.0,2.97,3.38,3.33,EDU,,2022.0,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,Project loan,COL/OPEC Fund for International Development,77.0,65.7558,81.52387112,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,17.0,16.96,106.33,97.57,WUS,,2022.0,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than statisfactory,less than statisfactory,less than statisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,COL,60.0,48.7958,64.52387112,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,OPEC Fund for International Development,17.0,16.96,17.0,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,17.0,16.96,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",Central and West Asia,Regular OCR-only,CWRD,Sustainable Urban Transport Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,73.0,34.2,73.0,2013,2013.0,2013.0,,2014.0,2018.0,2021.0,0.0,0.0,118.21,52.98,TRA,,2022.0,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Central and West Asia,Concessional assistance-only,CWRD,Building Climate Resilience in the Pyanj River Basin Project,Project,Project grant,Project grant,Strategic Climate Fund,21.55,21.4179,21.55,2013,2013.0,2013.0,,2013.0,2020.0,2020.0,21.55,21.4179,22.703,21.761,ANR,,2022.0,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",Central and West Asia,Regular OCR-only,CWRD,Sustainable Urban Transport Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,85.0,78.741,88.29702178,2010,2010.0,2010.0,,2010.0,2016.0,2021.0,0.0,0.0,99.98,102.03,TRA,,2022.0,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
9,Central and West Asia,Regular OCR-only,CWRD,Second Road Network Development Investment Program (Multitranche Financing Facility; and Tranches 1 and 2),Project,MFF - Facility,MFF - Facility,OCR,500.0,471.4,500.0,2012,2012.0,2013.0,,2013.0,2020.0,2021.0,0.0,0.0,644.0,557.0,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,Regular OCR-only,CWRD,Second Road Network Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,OCR,250.0,247.8,250.0,2012,2012.0,2013.0,,2013.0,2016.0,2021.0,,,312.0,294.0,TRA,,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,Regular OCR-only,CWRD,Second Road Network Development Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,OCR,250.0,223.6,250.0,2014,2014.0,2014.0,,2015.0,2020.0,2021.0,,,332.0,263.0,TRA,,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Qinghai Delingha Concentrated Solar Thermal Power Project,Project,Project loan,Project loan,OCR/The Export-Import Bank of China,150.0,123.3029,150.0,2013,2013.0,2014.0,,2014.0,2018.0,2018.0,75.58,57.0,322.26,258.77,ENE,,2022.0,successful,highly relevant,less than effective,less than efficient,most likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,,less than successful,relevant,less than effective,less than efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Regional Logistics Development Project,Project,Project loan,Project loan,COL/ADF,45.0,40.47,43.78303236,2010,2010.0,2011.0,,2011.0,2016.0,2020.0,0.0,0.0,71.64,49.74,TRA,,2022.0,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,East Asia,OCR Blend,EARD,Regional Logistics Development Project,Project,Project loan,,COL,40.0,35.47,38.78303236,2010,2010.0,2011.0,,2011.0,2016.0,2020.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,East Asia,OCR Blend,EARD,Regional Logistics Development Project,Project,Project loan,,ADF,5.0,5.0,5.0,2010,2010.0,2011.0,,2011.0,2016.0,2020.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,OCR Blend,SARD,National Grid Improvement Project,Project,Project loan,Project loan,OCR,500.0,500.0,500.0,2011,2011.0,2012.0,,2012.0,2017.0,2020.0,0.0,0.0,2000.1,1319.2,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Managing Soil Pollution in Ger Areas through Improved On-Site Sanitation Project,Project,Project grant,Project grant,Japan Fund for Prosperous and Resilient Asia and the Pacific,2.8,2.8,2.8,2016,2016.0,2016.0,,2017.0,2021.0,2021.0,2.8,2.8,2.8,2.8,WUS,,2022.0,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Third Small Towns Water Supply and Sanitation Sector Project,Project,Sector loan,Sector loan,COL/OFID/Bill and Melinda Gates Foundation,81.3,61.03999999999999,78.39010122,2014,2014.0,2014.0,,2015.0,2021.0,2022.0,21.3,16.14,109.0,90.5,WUS,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector loan,,COL,60.0,44.9,57.09010122,2014,2014.0,2014.0,,2015.0,2021.0,2021.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector loan,,OPEC Fund for International Development,20.0,15.2,20.0,2015,2015.0,2015.0,,2016.0,2020.0,2022.0,20.0,15.2,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector grant,,Bill and Melinda Gates Foundation,1.3,0.94,1.3,2014,2014.0,2014.0,,2015.0,2019.0,2021.0,1.3,0.94,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
9,South Asia,OCR Blend,SARD,Madhya Pradesh Energy Efficiency Improvement Investment Program (Tranche 2 and Multitranche Financing Facility),Project,MFF - Facility,MFF - Facility,OCR,200.0,149.01,200.0,2011,2011.0,2012.0,,2012.0,2015.0,2020.0,0.0,0.0,298.3,187.51,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,OCR Blend,SARD,Madhya Pradesh Energy Efficiency Improvement Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,OCR,200.0,149.01,200.0,2011,2011.0,2012.0,,2012.0,2015.0,2020.0,,,,,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",South Asia,OCR Blend,SARD,Karnataka Integrated and Sustainable Water Resources Management Investment Program – Project 1,Project,MFF-Tranche (Loan),MFF - tranche,OCR,31.0,25.099,31.0,2014,2014.0,2015.0,,2015.0,2019.0,2021.0,0.0,0.0,48.0,37.31,ANR,,2022.0,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Thimphu Road Improvement Project,Project,Project grant,Project grant,ADF,4.26,4.259,4.26,2016,2016.0,2016.0,,2016.0,2020.0,2022.0,0.0,0.0,5.11,5.1,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Trade and Competitiveness Program (Subprograms 1 and 2),Program,Program loan,Program loan,COL,800.0,800.0,800.0,2019,2019.0,2019.0,,2021.0,2021.0,2021.0,0.0,0.0,800.0,800.0,IND,,2022.0,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Trade and Competitiveness Program (Subprogram 1),Program,Program loan,,COL,500.0,500.0,500.0,2019,2019.0,2019.0,,2021.0,2020.0,2020.0,,,500.0,500.0,IND,,2022.0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Trade and Competitiveness Program (Subprogram 2),Program,Program loan,,COL,300.0,300.0,300.0,2020,2020.0,2020.0,,2020.0,2021.0,2021.0,,,300.0,300.0,IND,,2022.0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Central and West Asia,Regular OCR-only,CWRD,Second Public Efficiency and Financial Markets Program,Program,Program loan,Program loan,OCR,40.0,40.704,40.0,2019,2019.0,2019.0,,2019.0,2019.0,2019.0,0.0,0.0,40.704,40.704,FIN,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Central and West Asia,Regular OCR-only,CWRD,Shah Deniz Gas Field Expansion Project,Project,Partial Credit Guarantee with Govt Guarantee,Partial Credit Guarantee with Govt Guarantee,OCR/Partial Credit Guarantee(Collaborative financing),500.0,0.0,500.0,2016,2016.0,2017.0,,2018.0,2017.0,2018.0,24.5,,4717.2,,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,OCR Blend,SARD,Bihar Power System Improvement Project,Project,Project loan,Project loan,OCR,132.2,116.2,132.2,2010,2010.0,2011.0,,2011.0,2011.0,2020.0,0.0,0.0,153.9,164.3,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Southeast Asia,OCR Blend,SERD,District Capitals Water Supply Project,Project,Project grant,Project grant,ADF,11.0,10.84,11.0,2011,2011.0,2011.0,,2012.0,2017.0,2021.0,0.0,0.0,14.32,14.67,WUS,,2022.0,successful,highly relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Strengthening Community Resilience to Dzud and Forest and Steppe Fires Project,Project,Project grant,Project grant,Japan Fund for Prosperous and Resilient Asia and the Pacific,3.0,3.0,3.0,2016,2016.0,2016.0,,2017.0,2020.0,2020.0,3.0,3.0,3.0,3.0,ANR,,2022.0,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,OCR Blend,SARD,Supporting Human Capital Development in Meghalaya,Project,Project loan,Project loan,OCR,100.0,83.247,100.0,2013,2013.0,2014.0,,2014.0,2019.0,2022.0,0.0,0.0,125.0,89.4,EDU,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",South Asia,OCR Blend,SARD,North Karnataka Urban Sector Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,60.0,43.3679,60.0,2012,2012.0,2013.0,,2013.0,2016.0,2017.0,0.0,0.0,101.6,60.205,WUS,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,Regular OCR-only,SARD,Northern Road Connectivity Project,Project,Project loan,Project loan,COL/OCR,252.4,242.59000300000002,253.22899999999998,2010,2010.0,2010.0,,2010.0,2018.0,2021.0,0.0,0.0,285.8,247.53,TRA,,2022.0,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Northern Road Connectivity Project,Project,Project loan,,OCR,130.0,127.752542,130.0,2010,2010.0,2010.0,,2010.0,2015.0,2017.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Northern Road Connectivity Project,Project,Project loan,,COL,24.4,22.985982,24.221,2010,2010.0,2010.0,,2010.0,2015.0,2018.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Northern Road Connectivity Project (Additional Financing),Project,Project loan,,COL,68.0,62.91382,69.008,2012,2012.0,2012.0,,2013.0,2018.0,2021.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Northern Road Connectivity Project (Additional Financing),Project,Project loan,,OCR,30.0,28.937659,30.0,2012,2012.0,2012.0,,2013.0,2018.0,2021.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
9,Central and West Asia,OCR Blend,CWRD,Power Transmission Enhancement Investment Program,Project,MFF-Facility,MFF - Facility,OCR/Agence Francaise de Developpement,330.5,118.631329,330.5,2014,2014.0,2014.0,,2015.0,2020.0,2020.0,82.5,66.076,417.8,167.39,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Power Transmission Enhancement Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,OCR,248.0,52.555012,248.0,2014,2014.0,2014.0,,2015.0,2016.0,2017.0,,,,,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Power Transmission Enhancement Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,Agence Francaise de Developpement,82.5,66.076317,82.5,2016,2016.0,2017.0,,2017.0,2020.0,2020.0,82.5,66.076,,,ENE,,2022.0,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,National Highway Network Development in Balochistan Project,Project,Project loan/grant,Project loan/grant,OCR/DepDepartment for International Development,267.4,158.26999999999998,267.4,2014,2014.0,2015.0,,2015.0,2018.0,2021.0,72.4,68.75,235.0,165.88,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Highway Network Development in Balochistan Project,Project,Project loan,,OCR,195.0,89.7,195.0,2014,2014.0,2015.0,,2015.0,2018.0,2021.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Highway Network Development in Balochistan Project,Project,Project grant,,Department for International Development,72.4,68.57,72.4,2015,2015.0,2016.0,,2016.0,2018.0,2021.0,72.4,68.75,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
1,South Asia,OCR Blend,SARD,Second Jharkhand State Road Project,Project,Project loan,Project loan,OCR,200.0,91.85,200.0,2015,2015.0,2016.0,,2016.0,2020.0,2020.0,0.0,0.0,306.25,138.8,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",Central and West Asia,OCR Blend,CWRD,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program (Tranches 1 and 2),Project,MFF-Tranche (Loan),MFF - tranche,OCR,350.0,161.745,350.0,2011,2011.0,2011.0,,2012.0,2016.0,2021.0,0.0,0.0,425.0,202.70000000000002,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,OCR,130.0,129.34,130.0,2011,2011.0,2011.0,,2012.0,2014.0,2020.0,,,160.0,158.8,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,OCR,220.0,32.411,220.0,2012,2012.0,2013.0,,2013.0,2016.0,2021.0,,,265.0,43.9,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project  (with Additional Financing),Project,Project loan/grant,Project loan/grant,OCR/DepartmeDepartment for International Development/Asian Infrastructure Investment Bank,504.0,352.262378,504.0,2015,2015.0,2015.0,,2015.0,2020.0,2022.0,226.0,178.15,590.0,382.21,TRA,,2022.0,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project ,Project,Project loan,,OCR,178.0,106.06864,178.0,2015,2015.0,2016.0,,2015.0,2020.0,2021.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project  (Additional Financing),Project,Project loan,,OCR,100.0,74.3,100.0,2016,2016.0,2016.0,,2016.0,2020.0,2022.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project  (Additional Financing),Project,Project loan,,Asian Infrastructure Investment Bank,100.0,74.045359,100.0,2016,2016.0,2016.0,,2016.0,2020.0,2020.0,100.0,80.3,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project ,Project,Project grant,,Department for International Development,92.0,67.729958,92.0,2015,2015.0,2015.0,,2015.0,2020.0,2020.0,92.0,67.73,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,National Motorway M–4 Gojra–Shorkot Section Project and National Motorway M–4 Gojra–Shorkot–Khanewal Section Project  (Additional Financing),Project,Project grant,,Department for International Development,34.0,30.118421,34.0,2016,2016.0,2016.0,,2016.0,2020.0,2020.0,34.0,30.12,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PCR,2023.0,,,,,,,,
