dataset,pre processing,algorithm,time,balanced accuracy,balanced accuracy std,f1 score,f1 score std,roc auc,roc auc std,geometric mean,geometric mean std,cohen kappa,cohen kappa std,multiclass precision macro,multiclass precision macro std,multiclass recall macro,multiclass recall macro std,multiclass f1 weighted,multiclass f1 weighted std,multiclass matthews corrcoef,multiclass matthews corrcoef std,total elapsed time
air-quality-and-pollution-assessment_subset.csv,RandomOverSampler,GradientBoostingClassifier,4.928,,,,,,,,,,,0.928,0.028,0.92,0.03,0.945,0.018,0.923,0.026,0:01:32
analcatdata_authorship.csv,SMOTE,RandomForestClassifier,1.095,,,,,,,,,,,0.994,0.007,0.992,0.012,0.992,0.009,0.989,0.013,0:02:16
analcatdata_halloffame_clean.csv,RandomOverSampler,RandomForestClassifier,1.209,,,,,,,,,,,0.729,0.137,0.643,0.073,0.927,0.017,0.585,0.098,0:02:18
anneal.csv,SMOTETomek,GradientBoostingClassifier,8.388,,,,,,,,,,,0.98,0.061,0.977,0.062,0.997,0.007,0.995,0.012,0:01:28
autoUniv-au7-500.csv,SMOTE,BaggingClassifier,0.324,,,,,,,,,,,0.447,0.061,0.425,0.051,0.488,0.05,0.327,0.067,0:00:55
balance-scale.csv,EditedNearestNeighbours,GradientBoostingClassifier,0.606,,,,,,,,,,,0.71,0.059,0.741,0.081,0.852,0.035,0.73,0.064,0:00:37
car_subset.csv,TomekLinks,GradientBoostingClassifier,1.435,,,,,,,,,,,0.905,0.041,0.93,0.033,0.959,0.014,0.912,0.031,0:01:11
dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc_clean.csv,RandomOverSampler,BalancedBaggingClassifier,1.428,,,,,,,,,,,0.918,0.04,0.91,0.039,0.913,0.03,0.907,0.032,0:17:35
eucalyptus_subset.csv,RandomOverSampler,RandomForestClassifier,1.062,,,,,,,,,,,0.771,0.045,0.722,0.045,0.787,0.037,0.661,0.06,0:01:21
football-player-position_subset.csv,SMOTE,GradientBoostingClassifier,6.522,,,,,,,,,,,0.85,0.031,0.854,0.031,0.833,0.035,0.756,0.05,0:01:32
jungle_chess_2pcs_endgame_panther_elephant_subset.csv,TomekLinks,BaggingClassifier,0.291,,,,,,,,,,,0.999,0.002,0.994,0.017,0.999,0.003,0.998,0.006,0:01:28
jungle_chess_2pcs_endgame_panther_lion_subset.csv,RandomOverSampler,BaggingClassifier,0.295,,,,,,,,,,,0.998,0.011,0.997,0.012,0.999,0.003,0.998,0.006,0:01:24
jungle_chess_2pcs_endgame_rat_lion_clean_subset.csv,SMOTE,GradientBoostingClassifier,6.593,,,,,,,,,,,0.967,0.03,0.964,0.03,0.987,0.009,0.977,0.016,0:01:25
jungle_chess_2pcs_endgame_rat_lion_subset.csv,RandomOverSampler,RandomForestClassifier,0.872,,,,,,,,,,,0.968,0.033,0.961,0.03,0.989,0.008,0.98,0.014,0:01:25
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_subset.csv,RandomOverSampler,BalancedRandomForestClassifier,1.409,,,,,,,,,,,0.749,0.04,0.745,0.04,0.799,0.029,0.653,0.049,0:10:05
mabbob_ela_as_2d_classify.csv,RandomOverSampler,RandomForestClassifier,2.759,,,,,,,,,,,0.414,0.097,0.347,0.078,0.545,0.032,0.208,0.063,0:13:59
mabbob_ela_as_5d_classify.csv,RandomOverSampler,RandomForestClassifier,8.748,,,,,,,,,,,0.564,0.155,0.463,0.133,0.625,0.033,0.247,0.073,0:15:52
okcupid-stem_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True_clean_subset.csv,RandomOverSampler,RandomForestClassifier,2.304,,,,,,,,,,,0.602,0.071,0.466,0.051,0.676,0.031,0.236,0.087,0:20:34
product_sentiment_machine_hack_subset.csv,ADASYN,GradientBoostingClassifier,204.128,,,,,,,,,,,0.547,0.072,0.501,0.031,0.848,0.021,0.751,0.038,0:26:02
soybean_clean.csv,RandomOverSampler,RandomForestClassifier,1.03,,,,,,,,,,,0.974,0.015,0.971,0.017,0.94,0.032,0.936,0.035,0:01:51
steel-plates-fault_subset.csv,SMOTE,GradientBoostingClassifier,40.61,,,,,,,,,,,0.811,0.036,0.82,0.028,0.785,0.031,0.727,0.04,0:04:37
student_lifestyle_dataset _subset.csv,RandomOverSampler,RandomForestClassifier,0.902,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0:01:01
website_phishing.csv,RandomOverSampler,GradientBoostingClassifier,1.321,,,,,,,,,,,0.859,0.044,0.922,0.026,0.907,0.029,0.836,0.049,0:00:50
total_score.csv,RandomOverSampler,BalancedRandomForestClassifier,1.703,,,,,,,,,,,0.807,0.045,0.795,0.058,0.78,0.041,0.635,0.066,0:01:17
balance.csv,TomekLinks,AdaBoostClassifier,0.257,,,,,,,,,,,0.676,0.125,0.671,0.035,0.877,0.025,0.834,0.039,0:00:40
contraceptive.csv,SMOTETomek,GradientBoostingClassifier,1.565,,,,,,,,,,,0.555,0.028,0.556,0.03,0.568,0.025,0.338,0.04,0:00:50
dermatology.csv,EditedNearestNeighbours,BalancedRandomForestClassifier,0.731,,,,,,,,,,,0.982,0.024,0.98,0.026,0.982,0.024,0.978,0.029,0:00:58
ecoli.csv,TomekLinks,RandomForestClassifier,0.61,,,,,,,,,,,0.785,0.128,0.762,0.12,0.849,0.068,0.812,0.084,0:00:27
pageblocks.csv,TomekLinks,BaggingClassifier,0.291,,,,,,,,,,,0.728,0.135,0.74,0.153,0.955,0.021,0.79,0.104,0:00:29
penbased.csv,RandomOverSampler,RandomForestClassifier,0.958,,,,,,,,,,,0.97,0.015,0.968,0.016,0.967,0.017,0.964,0.018,0:01:33
shuttle.csv,RandomOverSampler,RandomForestClassifier,1.227,,,,,,,,,,,0.978,0.068,0.978,0.066,0.999,0.002,0.997,0.008,0:00:43
