dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
eucalyptus.csv,56,SMOTETomek,RUSBoostClassifier,0.494,ADASYN,BalancedRandomForestClassifier,0.578,-0.084,30.0,44.44,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.515,-0.063,20.0,62.96,False,False,False,0.1941,-0.077,-0.057,-0.091,0.61,0.533,0.536,0.479,0.638,0.547
cmc.csv,56,SMOTETomek,GradientBoostingClassifier,0.498,SMOTE,GradientBoostingClassifier,0.506,-0.008,12.0,77.78,False,False,False,SMOTE,GradientBoostingClassifier,0.506,0.0,1.0,98.15,True,True,True,0.1901,-0.012,-0.008,-0.007,0.477,0.465,0.468,0.46,0.63,0.623
autoUniv-au6-1000.csv,56,SMOTE,BaggingClassifier,0.167,RandomOverSampler,GradientBoostingClassifier,0.208,-0.041,33.0,38.89,False,False,False,ADASYN,BalancedRandomForestClassifier,0.196,-0.012,4.0,92.59,False,False,True,0.1693,-0.038,-0.03,-0.065,0.188,0.15,0.187,0.157,0.263,0.198
abalone.csv,56,ADASYN,BalancedRandomForestClassifier,0.612,SMOTETomek,BalancedRandomForestClassifier,0.632,-0.02,20.0,63.64,False,False,False,SMOTETomek,GradientBoostingClassifier,0.63,-0.002,6.0,89.09,False,False,False,0.1915,-0.031,-0.014,-0.017,0.623,0.592,0.636,0.622,0.728,0.711
Student_Performance_on_an_Entrance_Examination.csv,56,ADASYN,EasyEnsembleClassifier,0.449,SMOTETomek,GradientBoostingClassifier,0.51,-0.061,24.0,55.56,False,False,False,TomekLinks,GradientBoostingClassifier,0.484,-0.026,8.0,85.19,False,False,False,0.1808,-0.082,-0.044,-0.065,0.54,0.458,0.486,0.442,0.587,0.522
Multiclass_Classification_for_Corporate_Credit_Ratings.csv,56,SMOTE,GradientBoostingClassifier,0.707,RandomOverSampler,RandomForestClassifier,0.74,-0.033,7.0,87.04,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.739,-0.001,3.0,94.44,False,True,True,0.1731,-0.05,-0.004,-0.036,0.763,0.713,0.734,0.73,0.749,0.713
Mobile_Price.csv,56,RandomOverSampler,GradientBoostingClassifier,0.85,SMOTE,GradientBoostingClassifier,0.86,-0.01,3.0,94.64,False,True,True,SMOTETomek,GradientBoostingClassifier,0.858,-0.002,2.0,96.43,False,True,True,0.1616,-0.011,-0.014,-0.007,0.856,0.845,0.848,0.834,0.898,0.891
JapaneseVowels.csv,56,SMOTETomek,RandomForestClassifier,0.961,SMOTE,BalancedRandomForestClassifier,0.964,-0.003,6.0,89.09,False,False,False,SMOTE,RandomForestClassifier,0.963,-0.001,4.0,92.73,False,False,True,0.1896,-0.003,-0.003,-0.002,0.965,0.962,0.961,0.958,0.967,0.965
GesturePhaseSegmentationProcessed.csv,48,SMOTE,RandomForestClassifier,0.618,ADASYN,RandomForestClassifier,0.622,-0.004,5.0,89.36,False,False,True,ADASYN,RandomForestClassifier,0.622,0.0,1.0,97.87,True,True,True,0.1911,0.001,-0.013,-0.002,0.613,0.614,0.635,0.622,0.679,0.677
Estimation_of_Obesity_Levels.csv,56,SMOTE,GradientBoostingClassifier,0.933,RandomOverSampler,GradientBoostingClassifier,0.94,-0.007,4.0,92.73,False,False,True,RandomOverSampler,GradientBoostingClassifier,0.94,0.0,1.0,98.18,True,True,True,0.1902,-0.008,-0.007,-0.006,0.945,0.937,0.932,0.925,0.948,0.942
CPMP-2015-classification.csv,56,ADASYN,BalancedRandomForestClassifier,0.545,SMOTETomek,RUSBoostClassifier,0.593,-0.048,35.0,35.19,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.552,-0.041,31.0,42.59,False,False,False,0.1808,-0.094,-0.044,-0.025,0.629,0.535,0.561,0.517,0.667,0.642
Apple_Stock_Price_Trends.csv,56,SMOTE,GradientBoostingClassifier,0.447,SMOTE,GradientBoostingClassifier,0.447,0.0,1.0,98.15,True,True,True,SMOTE,GradientBoostingClassifier,0.447,0.0,1.0,98.15,True,True,True,0.192,0.0,0.0,0.0,0.39,0.39,0.367,0.367,0.554,0.554
mental_health_detection.csv,32,RandomOverSampler,RandomForestClassifier,0.208,TomekLinks,BaggingClassifier,0.237,-0.029,7.0,75.86,False,False,False,TomekLinks,RandomForestClassifier,0.227,-0.01,2.0,93.1,False,True,True,0.1927,-0.037,-0.049,-0.025,0.198,0.161,0.219,0.17,0.307,0.282
baseball_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.1865,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
Toronto-Apartment-Rental-Price.csv,56,ADASYN,RandomForestClassifier,0.799,SMOTETomek,BalancedRandomForestClassifier,0.803,-0.004,5.0,91.07,False,False,True,ADASYN,BalancedRandomForestClassifier,0.8,-0.003,3.0,94.64,False,True,True,0.176,-0.004,-0.003,-0.002,0.8,0.796,0.686,0.683,0.896,0.894
Flare.csv,56,TomekLinks,EasyEnsembleClassifier,0.661,ADASYN,EasyEnsembleClassifier,0.678,-0.017,12.0,78.57,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.672,-0.006,3.0,94.64,False,True,True,0.1571,-0.021,-0.009,-0.019,0.645,0.624,0.663,0.654,0.727,0.708
car_subset.csv,56,TomekLinks,GradientBoostingClassifier,0.927,TomekLinks,GradientBoostingClassifier,0.927,0.0,1.0,98.15,True,True,True,TomekLinks,GradientBoostingClassifier,0.927,0.0,1.0,98.15,True,True,True,0.1798,0.0,0.0,0.0,0.905,0.905,0.93,0.93,0.959,0.959
shuttle.csv,32,TomekLinks,BaggingClassifier,0.94,RandomOverSampler,RandomForestClassifier,0.988,-0.048,9.0,71.88,False,False,False,RandomOverSampler,BaggingClassifier,0.987,-0.001,2.0,93.75,False,True,True,0.1809,-0.096,-0.096,-0.005,0.978,0.882,0.978,0.882,0.999,0.994
penbased.csv,48,SMOTETomek,RandomForestClassifier,0.965,RandomOverSampler,RandomForestClassifier,0.967,-0.002,8.0,83.33,False,False,False,SMOTE,RandomForestClassifier,0.967,0.0,4.0,91.67,False,False,True,0.1793,-0.002,-0.002,-0.002,0.97,0.968,0.968,0.966,0.967,0.965
