dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
abalone.csv,56,ADASYN,BalancedRandomForestClassifier,0.612,SMOTETomek,BalancedRandomForestClassifier,0.632,-0.02,20.0,63.64,False,False,False,SMOTE,BalancedRandomForestClassifier,0.627,-0.005,11.0,80.0,False,False,False,0.0249,-0.031,-0.014,-0.017,0.623,0.592,0.636,0.622,0.728,0.711
Student_Performance_on_an_Entrance_Examination.csv,56,RandomOverSampler,RandomForestClassifier,0.49,SMOTETomek,GradientBoostingClassifier,0.51,-0.02,6.0,88.89,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.495,-0.015,4.0,92.59,False,False,True,0.0228,-0.034,-0.011,-0.017,0.54,0.506,0.486,0.475,0.587,0.57
Multiclass_Classification_for_Corporate_Credit_Ratings.csv,56,SMOTE,GradientBoostingClassifier,0.707,RandomOverSampler,RandomForestClassifier,0.74,-0.033,7.0,87.04,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.739,-0.001,3.0,94.44,False,True,True,0.0234,-0.05,-0.004,-0.036,0.763,0.713,0.734,0.73,0.749,0.713
Mobile_Price.csv,56,RandomOverSampler,GradientBoostingClassifier,0.85,SMOTE,GradientBoostingClassifier,0.86,-0.01,3.0,94.64,False,True,True,SMOTETomek,GradientBoostingClassifier,0.858,-0.002,2.0,96.43,False,True,True,0.0244,-0.011,-0.014,-0.007,0.856,0.845,0.848,0.834,0.898,0.891
JapaneseVowels.csv,56,ADASYN,BalancedRandomForestClassifier,0.963,SMOTE,BalancedRandomForestClassifier,0.964,-0.001,4.0,92.73,False,False,True,SMOTE,BalancedRandomForestClassifier,0.964,0.0,1.0,98.18,True,True,True,0.024,-0.002,-0.001,0.0,0.965,0.963,0.961,0.96,0.967,0.967
GesturePhaseSegmentationProcessed.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.62,ADASYN,RandomForestClassifier,0.622,-0.002,2.0,95.74,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.62,-0.002,2.0,95.74,False,True,True,0.0254,0.057,-0.062,-0.007,0.613,0.67,0.635,0.573,0.679,0.672
Estimation_of_Obesity_Levels.csv,56,SMOTE,RandomForestClassifier,0.919,RandomOverSampler,GradientBoostingClassifier,0.94,-0.021,7.0,87.27,False,False,False,SMOTE,RandomForestClassifier,0.919,-0.021,7.0,87.27,False,False,False,0.0305,-0.021,-0.022,-0.018,0.945,0.924,0.932,0.91,0.948,0.93
CPMP-2015-classification.csv,56,ADASYN,BalancedRandomForestClassifier,0.545,SMOTETomek,RUSBoostClassifier,0.593,-0.048,35.0,35.19,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.552,-0.041,31.0,42.59,False,False,False,0.0236,-0.094,-0.044,-0.025,0.629,0.535,0.561,0.517,0.667,0.642
Apple_Stock_Price_Trends.csv,56,SMOTETomek,BalancedRandomForestClassifier,0.424,SMOTE,GradientBoostingClassifier,0.447,-0.023,13.0,75.93,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.424,-0.023,13.0,75.93,False,False,False,0.0231,-0.024,0.001,-0.039,0.39,0.366,0.367,0.368,0.554,0.515
mental_health_detection.csv,32,RandomOverSampler,RandomForestClassifier,0.208,TomekLinks,BaggingClassifier,0.237,-0.029,7.0,75.86,False,False,False,TomekLinks,RandomForestClassifier,0.227,-0.01,2.0,93.1,False,True,True,0.0228,-0.037,-0.049,-0.025,0.198,0.161,0.219,0.17,0.307,0.282
baseball_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.0245,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
Toronto-Apartment-Rental-Price.csv,56,ADASYN,BalancedRandomForestClassifier,0.8,SMOTETomek,BalancedRandomForestClassifier,0.803,-0.003,3.0,94.64,False,True,True,ADASYN,BalancedRandomForestClassifier,0.8,-0.003,3.0,94.64,False,True,True,0.0228,-0.001,-0.004,-0.002,0.8,0.799,0.686,0.682,0.896,0.894
Flare.csv,56,TomekLinks,EasyEnsembleClassifier,0.661,ADASYN,EasyEnsembleClassifier,0.678,-0.017,12.0,78.57,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.672,-0.006,3.0,94.64,False,True,True,0.0225,-0.021,-0.009,-0.019,0.645,0.624,0.663,0.654,0.727,0.708
car_subset.csv,56,TomekLinks,GradientBoostingClassifier,0.927,TomekLinks,GradientBoostingClassifier,0.927,0.0,1.0,98.15,True,True,True,TomekLinks,GradientBoostingClassifier,0.927,0.0,1.0,98.15,True,True,True,0.0221,0.0,0.0,0.0,0.905,0.905,0.93,0.93,0.959,0.959
shuttle.csv,32,TomekLinks,BaggingClassifier,0.94,RandomOverSampler,RandomForestClassifier,0.988,-0.048,9.0,71.88,False,False,False,RandomOverSampler,BaggingClassifier,0.987,-0.001,2.0,93.75,False,True,True,0.023,-0.096,-0.096,-0.005,0.978,0.882,0.978,0.882,0.999,0.994
penbased.csv,48,SMOTE,RandomForestClassifier,0.967,RandomOverSampler,RandomForestClassifier,0.967,0.0,4.0,91.67,False,False,True,SMOTE,RandomForestClassifier,0.967,0.0,4.0,91.67,False,False,True,0.0234,0.0,0.0,0.0,0.97,0.97,0.968,0.968,0.967,0.967
pageblocks.csv,32,SMOTE,RandomForestClassifier,,TomekLinks,BaggingClassifier,0.816,,,,False,False,False,NO_RECOMMENDATION,NO_RECOMMENDATION,,,,,False,False,False,0.0238,,,,0.728,,0.74,,0.955,
ecoli.csv,32,SMOTE,RandomForestClassifier,,TomekLinks,RandomForestClassifier,0.804,,,,False,False,False,NO_RECOMMENDATION,NO_RECOMMENDATION,,,,,False,False,False,0.0228,,,,0.785,,0.762,,0.849,
dermatology.csv,56,SMOTE,RandomForestClassifier,0.973,EditedNearestNeighbours,BalancedRandomForestClassifier,0.981,-0.008,11.0,77.08,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.977,-0.004,4.0,91.67,False,False,True,0.0236,-0.007,-0.009,-0.007,0.982,0.975,0.98,0.971,0.982,0.975
contraceptive.csv,48,SMOTE,GradientBoostingClassifier,0.522,SMOTETomek,GradientBoostingClassifier,0.528,-0.006,3.0,93.48,False,True,True,SMOTE,GradientBoostingClassifier,0.522,-0.006,3.0,93.48,False,True,True,0.023,-0.005,-0.008,-0.005,0.555,0.55,0.556,0.548,0.568,0.563
balance.csv,56,EditedNearestNeighbours,GradientBoostingClassifier,0.74,TomekLinks,AdaBoostClassifier,0.779,-0.039,12.0,75.0,False,False,False,TomekLinks,AdaBoostClassifier,0.779,0.0,1.0,97.92,True,True,True,0.0226,0.009,0.031,-0.038,0.676,0.685,0.671,0.702,0.877,0.839
total_score.csv,56,SMOTE,GradientBoostingClassifier,0.659,RandomOverSampler,BalancedRandomForestClassifier,0.762,-0.103,16.0,70.37,False,False,False,SMOTE,BalancedRandomForestClassifier,0.702,-0.06,7.0,87.04,False,False,False,0.0229,-0.114,-0.099,-0.089,0.807,0.693,0.795,0.696,0.78,0.691
website_phishing.csv,56,TomekLinks,AdaBoostClassifier,0.719,RandomOverSampler,GradientBoostingClassifier,0.883,-0.164,45.0,16.67,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.883,0.0,1.0,98.15,True,True,True,0.0224,-0.199,-0.289,-0.082,0.859,0.66,0.922,0.633,0.907,0.825
steel-plates-fault_subset.csv,56,SMOTE,GradientBoostingClassifier,0.788,SMOTE,GradientBoostingClassifier,0.788,0.0,1.0,98.18,True,True,True,SMOTE,GradientBoostingClassifier,0.788,0.0,1.0,98.18,True,True,True,0.0227,0.0,0.0,0.0,0.811,0.811,0.82,0.82,0.785,0.785
soybean_clean.csv,48,RandomOverSampler,RandomForestClassifier,0.956,RandomOverSampler,RandomForestClassifier,0.956,0.0,1.0,97.87,True,True,True,RandomOverSampler,RandomForestClassifier,0.956,0.0,1.0,97.87,True,True,True,0.0223,0.0,0.0,0.0,0.974,0.974,0.971,0.971,0.94,0.94
product_sentiment_machine_hack_subset.csv,56,ADASYN,RandomForestClassifier,0.684,ADASYN,GradientBoostingClassifier,0.701,-0.017,20.0,63.64,False,False,False,ADASYN,RandomForestClassifier,0.684,-0.017,20.0,63.64,False,False,False,0.0229,-0.118,-0.033,-0.013,0.547,0.429,0.501,0.468,0.848,0.835
okcupid-stem_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True_clean_subset.csv,56,SMOTE,GradientBoostingClassifier,0.561,ADASYN,BalancedRandomForestClassifier,0.565,-0.004,8.0,85.19,False,False,False,SMOTETomek,GradientBoostingClassifier,0.563,-0.002,5.0,90.74,False,False,True,0.023,-0.077,0.095,0.033,0.642,0.565,0.409,0.504,0.648,0.681
mabbob_ela_as_5d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.529,RandomOverSampler,RandomForestClassifier,0.529,0.0,1.0,98.15,True,True,True,RandomOverSampler,RandomForestClassifier,0.529,0.0,1.0,98.15,True,True,True,0.0237,0.0,0.0,0.0,0.564,0.564,0.463,0.463,0.625,0.625
mabbob_ela_as_2d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.427,RandomOverSampler,RandomForestClassifier,0.427,0.0,1.0,98.15,True,True,True,RandomOverSampler,RandomForestClassifier,0.427,0.0,1.0,98.15,True,True,True,0.0223,0.0,0.0,0.0,0.414,0.414,0.347,0.347,0.545,0.545
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_subset.csv,56,SMOTE,GradientBoostingClassifier,0.728,RandomOverSampler,BalancedRandomForestClassifier,0.741,-0.013,12.0,78.18,False,False,False,SMOTE,GradientBoostingClassifier,0.728,-0.013,12.0,78.18,False,False,False,0.0227,-0.017,-0.014,-0.009,0.749,0.732,0.745,0.731,0.799,0.79
jungle_chess_2pcs_endgame_rat_lion_subset.csv,56,SMOTE,GradientBoostingClassifier,0.97,SMOTETomek,RandomForestClassifier,0.975,-0.005,17.0,69.64,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.973,-0.002,10.0,82.14,False,False,False,0.0224,-0.016,0.0,-0.001,0.975,0.959,0.955,0.955,0.989,0.988
jungle_chess_2pcs_endgame_rat_lion_clean_subset.csv,56,SMOTETomek,RandomForestClassifier,0.969,SMOTE,GradientBoostingClassifier,0.974,-0.005,11.0,80.36,False,False,False,SMOTETomek,RandomForestClassifier,0.969,-0.005,11.0,80.36,False,False,False,0.0225,0.003,-0.019,-0.002,0.967,0.97,0.964,0.945,0.987,0.985
jungle_chess_2pcs_endgame_panther_lion_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,5.0,91.07,False,False,True,TomekLinks,BaggingClassifier,0.998,0.0,5.0,91.07,False,False,True,0.0225,0.0,0.0,0.0,0.999,0.999,0.995,0.995,0.999,0.999
jungle_chess_2pcs_endgame_panther_elephant_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,1.0,98.15,True,True,True,TomekLinks,BaggingClassifier,0.998,0.0,1.0,98.15,True,True,True,0.0231,0.0,0.0,0.0,0.999,0.999,0.994,0.994,0.999,0.999
football-player-position_subset.csv,56,SMOTE,GradientBoostingClassifier,0.826,SMOTE,GradientBoostingClassifier,0.826,0.0,1.0,98.21,True,True,True,SMOTE,GradientBoostingClassifier,0.826,0.0,1.0,98.21,True,True,True,0.0224,0.0,0.0,0.0,0.85,0.85,0.854,0.854,0.833,0.833
eucalyptus_subset.csv,56,RandomOverSampler,RandomForestClassifier,0.739,RandomOverSampler,RandomForestClassifier,0.739,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.739,0.0,1.0,98.18,True,True,True,0.0225,0.0,0.0,0.0,0.771,0.771,0.722,0.722,0.787,0.787
dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc_clean.csv,56,RandomOverSampler,GradientBoostingClassifier,0.907,RandomOverSampler,BalancedBaggingClassifier,0.912,-0.005,3.0,94.64,False,True,True,RandomOverSampler,GradientBoostingClassifier,0.907,-0.005,3.0,94.64,False,True,True,0.0219,-0.003,-0.005,-0.007,0.918,0.915,0.91,0.905,0.913,0.906
balance-scale.csv,56,TomekLinks,AdaBoostClassifier,0.755,EditedNearestNeighbours,GradientBoostingClassifier,0.763,-0.008,2.0,95.83,False,True,True,TomekLinks,AdaBoostClassifier,0.755,-0.008,2.0,95.83,False,True,True,0.0221,-0.096,-0.091,0.012,0.71,0.614,0.741,0.65,0.852,0.864
autoUniv-au7-500.csv,56,SMOTE,GradientBoostingClassifier,0.39,SMOTE,BaggingClassifier,0.432,-0.042,13.0,75.93,False,False,False,SMOTE,GradientBoostingClassifier,0.39,-0.042,13.0,75.93,False,False,False,0.0223,-0.055,-0.045,-0.032,0.447,0.392,0.425,0.38,0.488,0.456
anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.987,SMOTETomek,GradientBoostingClassifier,0.987,0.0,2.0,96.43,False,True,True,SMOTETomek,GradientBoostingClassifier,0.987,0.0,2.0,96.43,False,True,True,0.0223,0.0,0.0,0.0,0.98,0.98,0.977,0.977,0.997,0.997
analcatdata_halloffame_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.0226,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
analcatdata_authorship.csv,56,SMOTE,RandomForestClassifier,0.992,ADASYN,RandomForestClassifier,0.992,0.0,3.0,94.64,False,True,True,SMOTE,RandomForestClassifier,0.992,0.0,3.0,94.64,False,True,True,0.0224,-0.001,0.002,-0.001,0.995,0.994,0.99,0.992,0.993,0.992
air-quality-and-pollution-assessment_subset.csv,56,SMOTE,GradientBoostingClassifier,0.914,RandomOverSampler,GradientBoostingClassifier,0.929,-0.015,12.0,78.57,False,False,False,ADASYN,BalancedRandomForestClassifier,0.915,-0.014,9.0,83.93,False,False,False,0.0219,-0.023,-0.012,-0.01,0.928,0.905,0.92,0.908,0.945,0.935
