dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc,problem_type,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
Estimation_of_Obesity_Levels.csv,56,SMOTE,RandomForestClassifier,0.919,RandomOverSampler,GradientBoostingClassifier,0.94,-0.021,7.0,87.27,False,False,False,0.0316,,,,,,,,,,multiclass,-0.021,-0.022,-0.018,0.945,0.924,0.932,0.91,0.948,0.93
CPMP-2015-classification.csv,56,ADASYN,BalancedRandomForestClassifier,0.545,SMOTETomek,RUSBoostClassifier,0.593,-0.048,35.0,35.19,False,False,False,0.0326,,,,,,,,,,multiclass,-0.094,-0.044,-0.025,0.629,0.535,0.561,0.517,0.667,0.642
Apple_Stock_Price_Trends.csv,56,SMOTETomek,BalancedRandomForestClassifier,0.424,SMOTE,GradientBoostingClassifier,0.447,-0.023,13.0,75.93,False,False,False,0.0447,,,,,,,,,,multiclass,-0.024,0.001,-0.039,0.39,0.366,0.367,0.368,0.554,0.515
mental_health_detection.csv,32,RandomOverSampler,RandomForestClassifier,0.208,TomekLinks,BaggingClassifier,0.237,-0.029,7.0,75.86,False,False,False,0.037,,,,,,,,,,multiclass,-0.037,-0.049,-0.025,0.198,0.161,0.219,0.17,0.307,0.282
cardiotocography.csv,48,ADASYN,RandomForestClassifier,1.0,ADASYN,GradientBoostingClassifier,1.0,0.0,38.0,19.15,False,False,False,0.0285,,,,,,,,,,multiclass,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
baseball_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.0286,,,,,,,,,,multiclass,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
Toronto-Apartment-Rental-Price.csv,56,ADASYN,BalancedRandomForestClassifier,0.8,SMOTETomek,BalancedRandomForestClassifier,0.803,-0.003,3.0,94.64,False,True,True,0.0289,,,,,,,,,,multiclass,-0.001,-0.004,-0.002,0.8,0.799,0.686,0.682,0.896,0.894
Flare.csv,56,TomekLinks,EasyEnsembleClassifier,0.661,ADASYN,EasyEnsembleClassifier,0.678,-0.017,12.0,78.57,False,False,False,0.0295,,,,,,,,,,multiclass,-0.021,-0.009,-0.019,0.645,0.624,0.663,0.654,0.727,0.708
car_subset.csv,56,TomekLinks,GradientBoostingClassifier,0.927,TomekLinks,GradientBoostingClassifier,0.927,0.0,1.0,98.15,True,True,True,0.0343,,,,,,,,,,multiclass,0.0,0.0,0.0,0.905,0.905,0.93,0.93,0.959,0.959
shuttle.csv,32,TomekLinks,BaggingClassifier,0.94,RandomOverSampler,RandomForestClassifier,0.988,-0.048,9.0,71.88,False,False,False,0.0419,,,,,,,,,,multiclass,-0.096,-0.096,-0.005,0.978,0.882,0.978,0.882,0.999,0.994
penbased.csv,48,SMOTE,RandomForestClassifier,0.967,RandomOverSampler,RandomForestClassifier,0.967,0.0,4.0,91.67,False,False,True,0.0317,,,,,,,,,,multiclass,0.0,0.0,0.0,0.97,0.97,0.968,0.968,0.967,0.967
pageblocks.csv,32,SMOTE,RandomForestClassifier,,TomekLinks,BaggingClassifier,0.816,,,,False,False,False,0.0299,,,,,,,,,,multiclass,,,,0.728,,0.74,,0.955,
ecoli.csv,32,SMOTE,RandomForestClassifier,,TomekLinks,RandomForestClassifier,0.804,,,,False,False,False,0.0295,,,,,,,,,,multiclass,,,,0.785,,0.762,,0.849,
dermatology.csv,56,SMOTE,RandomForestClassifier,0.973,EditedNearestNeighbours,BalancedRandomForestClassifier,0.981,-0.008,11.0,77.08,False,False,False,0.0286,,,,,,,,,,multiclass,-0.007,-0.009,-0.007,0.982,0.975,0.98,0.971,0.982,0.975
contraceptive.csv,48,SMOTE,GradientBoostingClassifier,0.522,SMOTETomek,GradientBoostingClassifier,0.528,-0.006,3.0,93.48,False,True,True,0.0425,,,,,,,,,,multiclass,-0.005,-0.008,-0.005,0.555,0.55,0.556,0.548,0.568,0.563
balance.csv,56,EditedNearestNeighbours,GradientBoostingClassifier,0.74,TomekLinks,AdaBoostClassifier,0.779,-0.039,12.0,75.0,False,False,False,0.0736,,,,,,,,,,multiclass,0.009,0.031,-0.038,0.676,0.685,0.671,0.702,0.877,0.839
total_score.csv,56,SMOTE,GradientBoostingClassifier,0.659,RandomOverSampler,BalancedRandomForestClassifier,0.762,-0.103,16.0,70.37,False,False,False,0.0378,,,,,,,,,,multiclass,-0.114,-0.099,-0.089,0.807,0.693,0.795,0.696,0.78,0.691
website_phishing.csv,56,TomekLinks,AdaBoostClassifier,0.719,RandomOverSampler,GradientBoostingClassifier,0.883,-0.164,45.0,16.67,False,False,False,0.0357,,,,,,,,,,multiclass,-0.199,-0.289,-0.082,0.859,0.66,0.922,0.633,0.907,0.825
student_lifestyle_dataset _subset.csv,56,RandomOverSampler,GradientBoostingClassifier,1.0,TomekLinks,BalancedRandomForestClassifier,1.0,0.0,29.0,48.21,False,False,False,0.0362,,,,,,,,,,multiclass,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
steel-plates-fault_subset.csv,56,SMOTE,GradientBoostingClassifier,0.788,SMOTE,GradientBoostingClassifier,0.788,0.0,1.0,98.18,True,True,True,0.0525,,,,,,,,,,multiclass,0.0,0.0,0.0,0.811,0.811,0.82,0.82,0.785,0.785
soybean_clean.csv,48,RandomOverSampler,RandomForestClassifier,0.956,RandomOverSampler,RandomForestClassifier,0.956,0.0,1.0,97.87,True,True,True,0.0449,,,,,,,,,,multiclass,0.0,0.0,0.0,0.974,0.974,0.971,0.971,0.94,0.94
product_sentiment_machine_hack_subset.csv,56,ADASYN,RandomForestClassifier,0.684,ADASYN,GradientBoostingClassifier,0.701,-0.017,20.0,63.64,False,False,False,0.0349,,,,,,,,,,multiclass,-0.118,-0.033,-0.013,0.547,0.429,0.501,0.468,0.848,0.835
okcupid-stem_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True_clean_subset.csv,56,SMOTE,GradientBoostingClassifier,0.561,ADASYN,BalancedRandomForestClassifier,0.565,-0.004,8.0,85.19,False,False,False,0.0352,,,,,,,,,,multiclass,-0.077,0.095,0.033,0.642,0.565,0.409,0.504,0.648,0.681
mabbob_ela_as_5d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.529,RandomOverSampler,RandomForestClassifier,0.529,0.0,1.0,98.15,True,True,True,0.0383,,,,,,,,,,multiclass,0.0,0.0,0.0,0.564,0.564,0.463,0.463,0.625,0.625
mabbob_ela_as_2d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.427,RandomOverSampler,RandomForestClassifier,0.427,0.0,1.0,98.15,True,True,True,0.0548,,,,,,,,,,multiclass,0.0,0.0,0.0,0.414,0.414,0.347,0.347,0.545,0.545
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_subset.csv,56,SMOTE,GradientBoostingClassifier,0.728,RandomOverSampler,BalancedRandomForestClassifier,0.741,-0.013,12.0,78.18,False,False,False,0.0436,,,,,,,,,,multiclass,-0.017,-0.014,-0.009,0.749,0.732,0.745,0.731,0.799,0.79
jungle_chess_2pcs_endgame_rat_lion_subset.csv,56,SMOTE,GradientBoostingClassifier,0.97,SMOTETomek,RandomForestClassifier,0.975,-0.005,17.0,69.64,False,False,False,0.0371,,,,,,,,,,multiclass,-0.016,0.0,-0.001,0.975,0.959,0.955,0.955,0.989,0.988
jungle_chess_2pcs_endgame_rat_lion_clean_subset.csv,56,SMOTETomek,RandomForestClassifier,0.969,SMOTE,GradientBoostingClassifier,0.974,-0.005,11.0,80.36,False,False,False,0.0353,,,,,,,,,,multiclass,0.003,-0.019,-0.002,0.967,0.97,0.964,0.945,0.987,0.985
jungle_chess_2pcs_endgame_panther_lion_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,5.0,91.07,False,False,True,0.067,,,,,,,,,,multiclass,0.0,0.0,0.0,0.999,0.999,0.995,0.995,0.999,0.999
jungle_chess_2pcs_endgame_panther_elephant_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,1.0,98.15,True,True,True,0.0369,,,,,,,,,,multiclass,0.0,0.0,0.0,0.999,0.999,0.994,0.994,0.999,0.999
football-player-position_subset.csv,56,SMOTE,GradientBoostingClassifier,0.826,SMOTE,GradientBoostingClassifier,0.826,0.0,1.0,98.21,True,True,True,0.0345,,,,,,,,,,multiclass,0.0,0.0,0.0,0.85,0.85,0.854,0.854,0.833,0.833
eucalyptus_subset.csv,56,RandomOverSampler,RandomForestClassifier,0.739,RandomOverSampler,RandomForestClassifier,0.739,0.0,1.0,98.18,True,True,True,0.0355,,,,,,,,,,multiclass,0.0,0.0,0.0,0.771,0.771,0.722,0.722,0.787,0.787
dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc_clean.csv,56,RandomOverSampler,GradientBoostingClassifier,0.907,RandomOverSampler,BalancedBaggingClassifier,0.912,-0.005,3.0,94.64,False,True,True,0.0338,,,,,,,,,,multiclass,-0.003,-0.005,-0.007,0.918,0.915,0.91,0.905,0.913,0.906
balance-scale.csv,56,TomekLinks,AdaBoostClassifier,0.755,EditedNearestNeighbours,GradientBoostingClassifier,0.763,-0.008,2.0,95.83,False,True,True,0.079,,,,,,,,,,multiclass,-0.096,-0.091,0.012,0.71,0.614,0.741,0.65,0.852,0.864
autoUniv-au7-500.csv,56,SMOTE,GradientBoostingClassifier,0.39,SMOTE,BaggingClassifier,0.432,-0.042,13.0,75.93,False,False,False,0.0381,,,,,,,,,,multiclass,-0.055,-0.045,-0.032,0.447,0.392,0.425,0.38,0.488,0.456
anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.987,SMOTETomek,GradientBoostingClassifier,0.987,0.0,2.0,96.43,False,True,True,0.0439,,,,,,,,,,multiclass,0.0,0.0,0.0,0.98,0.98,0.977,0.977,0.997,0.997
analcatdata_halloffame_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.0371,,,,,,,,,,multiclass,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
analcatdata_authorship.csv,56,SMOTE,RandomForestClassifier,0.992,ADASYN,RandomForestClassifier,0.992,0.0,3.0,94.64,False,True,True,0.0492,,,,,,,,,,multiclass,-0.001,0.002,-0.001,0.995,0.994,0.99,0.992,0.993,0.992
air-quality-and-pollution-assessment_subset.csv,56,SMOTE,GradientBoostingClassifier,0.914,RandomOverSampler,GradientBoostingClassifier,0.929,-0.015,12.0,78.57,False,False,False,0.0548,,,,,,,,,,multiclass,-0.023,-0.012,-0.01,0.928,0.905,0.92,0.908,0.945,0.935
agriculture_dataset_karnataka_clean_subset.csv,48,RandomOverSampler,RandomForestClassifier,0.957,RandomOverSampler,RandomForestClassifier,0.957,0.0,1.0,97.92,True,True,True,0.0353,,,,,,,,,,multiclass,0.0,0.0,0.0,0.967,0.967,0.957,0.957,0.964,0.964
TESTFORDESCRIPTION-anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.986,SMOTETomek,GradientBoostingClassifier,0.986,0.0,2.0,96.36,False,True,True,0.0334,,,,,,,,,,multiclass,0.0,0.0,0.0,0.977,0.977,0.976,0.976,0.996,0.996
Success-Rates-2_clean_subset.csv,32,RandomOverSampler,BalancedBaggingClassifier,0.901,RandomOverSampler,GradientBoostingClassifier,0.921,-0.02,5.0,83.33,False,False,True,0.0378,,,,,,,,,,multiclass,-0.052,-0.054,0.001,0.848,0.796,0.85,0.796,0.985,0.986
QSAR_Bioconcentration_classification.csv,56,SMOTETomek,BalancedRandomForestClassifier,0.616,ADASYN,RandomForestClassifier,0.622,-0.006,5.0,90.74,False,False,True,0.0338,,,,,,,,,,multiclass,-0.008,-0.005,-0.007,0.72,0.712,0.557,0.552,0.679,0.672
Midwest_survey_clean_subset.csv,56,ADASYN,BalancedRandomForestClassifier,0.551,RandomOverSampler,BaggingClassifier,0.962,-0.411,44.0,18.52,False,False,False,0.0537,,,,,,,,,,multiclass,-0.425,-0.504,-0.35,0.96,0.535,0.963,0.459,0.967,0.617
HCV_data_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.757,SMOTE,RandomForestClassifier,0.765,-0.008,7.0,87.27,False,False,False,0.0365,,,,,,,,,,multiclass,0.026,-0.041,-0.007,0.668,0.694,0.653,0.612,0.929,0.922
Diabetes130US_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True_clean.csv,56,ADASYN,BalancedRandomForestClassifier,0.417,SMOTE,GradientBoostingClassifier,0.449,-0.032,36.0,34.55,False,False,False,0.0314,,,,,,,,,,multiclass,-0.053,-0.029,-0.029,0.452,0.399,0.416,0.387,0.536,0.507
yeast.csv,32,RandomOverSampler,RandomForestClassifier,0.559,TomekLinks,RandomForestClassifier,0.568,-0.009,3.0,90.32,False,True,True,0.0397,,,,,,,,,,multiclass,-0.021,-0.003,-0.005,0.584,0.563,0.558,0.555,0.609,0.604
wine_quality_white.csv,32,RandomOverSampler,BalancedRandomForestClassifier,0.574,RandomOverSampler,BalancedRandomForestClassifier,0.574,0.0,1.0,96.67,True,True,True,0.0679,,,,,,,,,,multiclass,0.0,0.0,0.0,0.552,0.552,0.443,0.443,0.69,0.69
wine_quality_red.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.535,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,0.0822,,,,,,,,,,multiclass,0.0,0.0,0.0,0.401,0.401,0.381,0.381,0.687,0.687
wine-quality-red.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.535,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,0.0776,,,,,,,,,,multiclass,0.0,0.0,0.0,0.401,0.401,0.381,0.381,0.687,0.687
wall-robot-navigation.csv,48,SMOTE,GradientBoostingClassifier,0.998,RandomOverSampler,GradientBoostingClassifier,0.998,0.0,2.0,95.65,False,True,True,0.0969,,,,,,,,,,multiclass,0.0,0.0,0.0,0.998,0.998,0.997,0.997,0.998,0.998
thyroid-dis.csv,56,RandomOverSampler,RandomForestClassifier,0.555,TomekLinks,GradientBoostingClassifier,0.563,-0.008,3.0,94.55,False,True,True,0.0443,,,,,,,,,,multiclass,-0.065,0.026,0.008,0.592,0.527,0.445,0.471,0.681,0.689
thyroid-ann.csv,56,RandomOverSampler,BalancedRandomForestClassifier,0.991,RandomOverSampler,BalancedRandomForestClassifier,0.991,0.0,1.0,98.15,True,True,True,0.0408,,,,,,,,,,multiclass,0.0,0.0,0.0,0.981,0.981,0.999,0.999,0.998,0.998
solar-flare.csv,56,ADASYN,EasyEnsembleClassifier,0.664,TomekLinks,EasyEnsembleClassifier,0.674,-0.01,10.0,82.14,False,False,False,0.0474,,,,,,,,,,multiclass,-0.014,-0.016,-0.006,0.64,0.626,0.666,0.65,0.722,0.716
page_blocks.csv,56,RandomOverSampler,RandomForestClassifier,0.896,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,0.08,,,,,,,,,,multiclass,0.0,0.0,0.0,0.87,0.87,0.863,0.863,0.974,0.974
page-blocks.csv,56,RandomOverSampler,RandomForestClassifier,0.896,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,0.0453,,,,,,,,,,multiclass,0.0,0.0,0.0,0.87,0.87,0.863,0.863,0.974,0.974
helena_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,32,RandomOverSampler,RandomForestClassifier,0.198,RandomOverSampler,BalancedRandomForestClassifier,0.199,-0.001,2.0,93.33,False,True,True,0.0409,,,,,,,,,,multiclass,-0.001,-0.002,-0.001,0.112,0.111,0.129,0.127,0.229,0.228
first-order-theorem-proving_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,48,SMOTE,BaggingClassifier,0.423,RandomOverSampler,RandomForestClassifier,0.455,-0.032,22.0,53.19,False,False,False,0.0419,,,,,,,,,,multiclass,-0.039,-0.027,-0.03,0.441,0.402,0.433,0.406,0.532,0.502
first-order-theorem-proving .csv,56,ADASYN,RandomForestClassifier,0.547,SMOTE,RandomForestClassifier,0.548,-0.001,2.0,96.3,False,True,True,0.0622,,,,,,,,,,multiclass,-0.002,0.0,-0.001,0.526,0.524,0.532,0.532,0.62,0.619
fabert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,48,SMOTETomek,RandomForestClassifier,0.232,SMOTETomek,EasyEnsembleClassifier,0.394,-0.162,28.0,39.13,False,False,False,0.051,,,,,,,,,,multiclass,-0.315,0.04,0.072,0.566,0.251,0.203,0.243,0.173,0.245
energy-efficiency.csv,32,RandomOverSampler,RandomForestClassifier,0.549,RandomOverSampler,RandomForestClassifier,0.549,0.0,1.0,96.67,True,True,True,0.0422,,,,,,,,,,multiclass,0.0,0.0,0.0,0.484,0.484,0.5,0.5,0.598,0.598
dionis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,32,RandomOverSampler,RandomForestClassifier,0.478,RandomOverSampler,RandomForestClassifier,0.478,0.0,1.0,96.77,True,True,True,0.0323,,,,,,,,,,multiclass,0.0,0.0,0.0,0.403,0.403,0.452,0.452,0.496,0.496
connect-4_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,56,SMOTE,GradientBoostingClassifier,0.554,ADASYN,GradientBoostingClassifier,0.563,-0.009,6.0,88.89,False,False,False,0.033,,,,,,,,,,multiclass,-0.011,-0.007,-0.011,0.534,0.523,0.543,0.536,0.686,0.675
collins.csv,48,RandomOverSampler,RandomForestClassifier,0.238,RandomOverSampler,RandomForestClassifier,0.238,0.0,1.0,96.77,True,True,True,0.034,,,,,,,,,,multiclass,0.0,0.0,0.0,0.221,0.221,0.243,0.243,0.25,0.25
car_evaluation.csv,56,TomekLinks,GradientBoostingClassifier,0.975,TomekLinks,GradientBoostingClassifier,0.975,0.0,1.0,98.18,True,True,True,0.0892,,,,,,,,,,multiclass,0.0,0.0,0.0,0.965,0.965,0.977,0.977,0.987,0.987
ann_thyroid.csv,56,RandomOverSampler,BalancedRandomForestClassifier,0.986,RandomOverSampler,BalancedRandomForestClassifier,0.986,0.0,2.0,96.3,False,True,True,0.0417,,,,,,,,,,multiclass,0.0,0.0,0.0,0.972,0.972,0.996,0.996,0.997,0.997
allrep.csv,56,RandomOverSampler,GradientBoostingClassifier,0.862,RandomOverSampler,GradientBoostingClassifier,0.862,0.0,1.0,98.18,True,True,True,0.0364,,,,,,,,,,multiclass,0.0,0.0,0.0,0.793,0.793,0.836,0.836,0.986,0.986
allhypo.csv,56,RandomOverSampler,GradientBoostingClassifier,0.934,RandomOverSampler,GradientBoostingClassifier,0.934,0.0,1.0,98.18,True,True,True,0.0664,,,,,,,,,,multiclass,0.0,0.0,0.0,0.889,0.889,0.95,0.95,0.986,0.986
allhyper.csv,48,RandomOverSampler,GradientBoostingClassifier,0.821,ADASYN,GradientBoostingClassifier,0.83,-0.009,4.0,91.49,False,False,True,0.0465,,,,,,,,,,multiclass,-0.019,-0.046,0.001,0.698,0.679,0.795,0.749,0.987,0.988
allbp.csv,40,RandomOverSampler,GradientBoostingClassifier,0.812,RandomOverSampler,GradientBoostingClassifier,0.812,0.0,1.0,97.5,True,True,True,0.0345,,,,,,,,,,multiclass,0.0,0.0,0.0,0.692,0.692,0.819,0.819,0.969,0.969
Fetal_cardiotocography_dataset.csv,56,SMOTETomek,GradientBoostingClassifier,0.98,RandomOverSampler,BalancedRandomForestClassifier,0.983,-0.003,14.0,75.0,False,False,False,0.0383,,,,,,,,,,multiclass,-0.005,0.0,-0.002,0.988,0.983,0.98,0.98,0.99,0.988
Cervical_Cancer_Risk_Factors_clean.csv,56,SMOTETomek,GradientBoostingClassifier,0.594,TomekLinks,AdaBoostClassifier,0.611,-0.017,12.0,77.78,False,False,False,0.0346,,,,,,,,,,multiclass,0.041,0.01,-0.013,0.176,0.217,0.199,0.209,0.825,0.812
