dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc,problem_type,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
analcatdata_birthday (id:968),12,SVMSMOTE,LGBMClassifier,0.835,SVMSMOTE,XGBClassifier,0.84,-0.005,4.0,66.67,False,False,True,0.0236,-0.007,-0.005,0.008,0.86,0.853,0.932,0.927,0.936,0.944,binary,,,,,,,,,
dgf_test (id:42883),12,RandomOverSampler,GradientBoostingClassifier,0.955,RandomOverSampler,XGBClassifier,0.982,-0.027,12.0,0.0,False,False,False,0.0234,-0.009,-0.051,-0.004,0.987,0.978,0.971,0.92,0.999,0.995,binary,,,,,,,,,
bank32nh (id:833),12,RandomOverSampler,XGBClassifier,0.732,RandomOverSampler,GradientBoostingClassifier,0.755,-0.023,9.0,25.0,False,False,False,0.0243,-0.028,-0.027,-0.01,0.803,0.775,0.716,0.689,0.888,0.878,binary,,,,,,,,,
cpu_act (id:761),12,SMOTETomek,LGBMClassifier,0.931,SVMSMOTE,LGBMClassifier,0.932,-0.001,6.0,50.0,False,False,False,0.0225,-0.001,0.0,0.0,0.931,0.93,0.956,0.956,0.985,0.985,binary,,,,,,,,,
cpu_small (id:735),12,SVMSMOTE,LGBMClassifier,0.915,SMOTETomek,LGBMClassifier,0.917,-0.002,6.0,50.0,False,False,False,0.0231,-0.002,-0.001,0.0,0.916,0.914,0.947,0.946,0.979,0.979,binary,,,,,,,,,
phoneme (id:1489),12,RandomOverSampler,GradientBoostingClassifier,0.81,RandomOverSampler,XGBClassifier,0.861,-0.051,11.0,8.33,False,False,False,0.024,-0.03,-0.061,-0.03,0.884,0.854,0.828,0.767,0.954,0.924,binary,,,,,,,,,
vertebra-column (id:1524),12,SMOTE,XGBClassifier,0.775,RandomOverSampler,XGBClassifier,0.785,-0.01,7.0,41.67,False,False,False,0.04,-0.007,-0.011,-0.004,0.817,0.81,0.749,0.738,0.918,0.914,binary,,,,,,,,,
wholesale-customers (id:1511),12,RandomOverSampler,GradientBoostingClassifier,0.891,SMOTETomek,GradientBoostingClassifier,0.897,-0.006,5.0,58.33,False,False,True,0.031,-0.005,-0.006,-0.005,0.917,0.912,0.878,0.872,0.959,0.954,binary,,,,,,,,,
scene (id:312),12,SVMSMOTE,XGBClassifier,0.964,SMOTE,GradientBoostingClassifier,0.971,-0.007,6.0,50.0,False,False,False,0.024,-0.007,-0.009,-0.001,0.97,0.963,0.966,0.957,0.989,0.988,binary,,,,,,,,,
synthetic_control (id:1004),12,SVMSMOTE,GradientBoostingClassifier,0.986,SMOTE,XGBClassifier,0.996,-0.01,11.0,8.33,False,False,False,0.023,-0.006,-0.006,-0.002,0.995,0.989,0.999,0.993,1.0,0.998,binary,,,,,,,,,
socmob (id:934),12,SVMSMOTE,XGBClassifier,0.908,RandomOverSampler,GradientBoostingClassifier,0.922,-0.014,11.0,8.33,False,False,False,0.0227,-0.01,-0.02,-0.003,0.939,0.929,0.89,0.87,0.987,0.984,binary,,,,,,,,,
analcatdata_germangss (id:1025),12,RandomOverSampler,GradientBoostingClassifier,0.861,SVMSMOTE,GradientBoostingClassifier,0.868,-0.007,2.0,83.33,False,True,True,0.023,-0.003,-0.013,0.002,0.901,0.898,0.822,0.809,0.956,0.958,binary,,,,,,,,,
analcatdata_supreme (id:728),12,RandomOverSampler,LGBMClassifier,0.99,RandomOverSampler,GradientBoostingClassifier,0.992,-0.002,9.0,25.0,False,False,False,0.0226,-0.002,-0.001,-0.001,0.991,0.989,0.996,0.995,1.0,0.999,binary,,,,,,,,,
ada (id:41156),12,RandomOverSampler,LGBMClassifier,0.784,RandomOverSampler,GradientBoostingClassifier,0.785,-0.001,2.0,83.33,False,True,True,0.0488,-0.009,0.004,-0.005,0.84,0.831,0.719,0.723,0.919,0.914,binary,,,,,,,,,
cpu (id:796),12,SVMSMOTE,LGBMClassifier,0.994,SMOTETomek,LGBMClassifier,0.996,-0.002,3.0,75.0,False,True,True,0.0268,-0.003,-0.003,0.0,0.998,0.995,0.994,0.991,1.0,1.0,binary,,,,,,,,,
vehicle (id:994),12,SVMSMOTE,GradientBoostingClassifier,0.982,RandomOverSampler,LGBMClassifier,0.985,-0.003,9.0,25.0,False,False,False,0.0273,-0.002,-0.003,-0.001,0.984,0.982,0.992,0.989,0.999,0.998,binary,,,,,,,,,
machine_cpu (id:733),12,SMOTETomek,GradientBoostingClassifier,0.892,SMOTE,LGBMClassifier,0.902,-0.01,5.0,58.33,False,False,True,0.0302,-0.013,-0.014,0.008,0.915,0.902,0.876,0.862,0.977,0.985,binary,,,,,,,,,
SPECTF (id:337),12,SMOTETomek,GradientBoostingClassifier,0.847,RandomOverSampler,GradientBoostingClassifier,0.879,-0.032,12.0,0.0,False,False,False,0.028,-0.033,-0.012,-0.018,0.888,0.855,0.922,0.91,0.957,0.939,binary,,,,,,,,,
churn (id:40701),12,RandomOverSampler,GradientBoostingClassifier,0.829,RandomOverSampler,LGBMClassifier,0.865,-0.036,3.0,75.0,False,True,True,0.0244,-0.009,-0.073,-0.005,0.89,0.881,0.831,0.758,0.917,0.912,binary,,,,,,,,,
mfeat-factors (id:978),12,SVMSMOTE,XGBClassifier,0.989,SVMSMOTE,GradientBoostingClassifier,0.991,-0.002,9.0,25.0,False,False,False,0.053,0.0,-0.001,0.0,0.988,0.988,0.998,0.997,1.0,1.0,binary,,,,,,,,,
mfeat-fourier (id:971),12,SVMSMOTE,XGBClassifier,0.992,SMOTETomek,GradientBoostingClassifier,0.996,-0.004,8.0,33.33,False,False,False,0.0206,-0.005,-0.001,0.0,0.995,0.99,0.999,0.998,1.0,1.0,binary,,,,,,,,,
